steps,distance,trackerDistance,loggedActivitiesDistance,veryActiveDistance,moderatelyActiveDistance,lightActiveDistance,sedentaryActiveDistance,veryActiveMinutes,fairlyActiveMinutes,lightlyActiveMinutes,sedentaryMinutes,calories
2767.0,1.720000029,1.720000029,3.4165962489,1.514999986,0.670000017,1.720000029,0.01,26.0,25.9695652174,170.0,673.0,1392.0
10146.0,6.789999962,6.789999962,3.4165962489,0.07,0.610000014,6.110000134,0.01,1.0,12.0,397.0,1030.0,2700.0
7.0,4.964999914,4.960000038,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,1.0,1439.0,1349.0
20188.0,15.61999989,15.61999989,3.4165962489,12.06000042,0.850000024,2.710000038,0.01,124.0,19.0,172.0,1125.0,3377.0
4804.0,3.220000029,3.220000029,3.4165962489,1.514999986,0.670000017,3.220000029,0.01,26.0,25.9695652174,238.0,786.0,2227.0
11159.0,9.140000343,9.140000343,3.4165962489,6.690000057,0.25,2.190000057,0.01,59.0,6.0,120.0,1255.0,2715.0
11230.0,7.670000076,7.670000076,3.4165962489,0.889999986,0.119999997,6.659999847,0.01,10.0,2.0,390.0,1038.0,2206.0
2545.0,1.679999948,1.679999948,3.4165962489,1.514999986,0.670000017,1.669999957,0.02,26.0,25.9695652174,126.0,1314.0,1657.0
8828.0,5.840000153,5.840000153,3.4165962489,1.514999986,0.670000017,5.840000153,0.01,26.0,25.9695652174,308.0,1132.0,2149.0
16470.0,8.069999695,8.069999695,3.4165962489,1.514999986,0.02,8.020000458,0.01,90.0,9.0,289.0,1052.0,3841.0
759.0,0.569999993,0.569999993,3.4165962489,1.514999986,0.670000017,0.569999993,0.01,26.0,25.9695652174,17.0,187.0,182.0
6544.0,4.409999847,4.409999847,3.4165962489,0.289999992,0.25999999,3.859999895,0.01,4.0,6.0,276.0,1132.0,2069.0
10114.0,6.820000172,6.820000172,3.4165962489,1.639999986,0.479999989,4.679999828,0.01,18.0,9.0,269.0,696.0,2096.0
8426.0,6.159999847,6.159999847,3.4165962489,0.129999995,5.489999771,0.540000021,0.01,2.0,120.0,25.0,1293.0,2360.0
